"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","Tags"
"GSE31348_assay_raw","Raw transcriptome data derived from GEO accession: GSE31348","3.14",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE31348",NA,"Homo sapiens","9606",NA,"The National Center for Biotechnology Information","Xutao Wang <xutaow@bu.edu>","matrix","Rda","curatedTBData/data/GSE31348_assay_raw.rda","GSE31348:assay_raw"
"GSE31348_assay_curated","Curated transcriptome data derived from GEO accession: GSE31348","3.14",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE31348",NA,"Homo sapiens","9606",NA,"The National Center for Biotechnology Information","Xutao Wang <xutaow@bu.edu>","matrix","Rda","curatedTBData/data/GSE31348_assay_curated.rda","GSE31348:assay_curated"
"GSE31348_column_data","Clinical information for samples derived from GEO accession: GSE31348","3.14",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE31348",NA,"Homo sapiens","9606",NA,"The National Center for Biotechnology Information","Xutao Wang <xutaow@bu.edu>","DFrame","Rda","curatedTBData/data/GSE31348_column_data.rda","GSE31348:column_data"
"GSE31348_row_data","Probe set information for samples for derived from GEO accession: GSE31348","3.14",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE31348",NA,"Homo sapiens","9606",NA,"The National Center for Biotechnology Information","Xutao Wang <xutaow@bu.edu>","DFrame","Rda","curatedTBData/data/GSE31348_row_data.rda","GSE31348:row_data"
"GSE31348_meta_data","Meta data information for samples derived from GEO accession: GSE31348","3.14",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE31348",NA,"Homo sapiens","9606",NA,"The National Center for Biotechnology Information","Xutao Wang <xutaow@bu.edu>","MIAME","Rda","curatedTBData/data/GSE31348_meta_data.rda","GSE31348:meta_data"
"GSE36238_assay_raw","Raw transcriptome data derived from GEO accession: GSE36238","3.14",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE36238",NA,"Homo sapiens","9606",NA,"The National Center for Biotechnology Information","Xutao Wang <xutaow@bu.edu>","matrix","Rda","curatedTBData/data/GSE36238_assay_raw.rda","GSE36238:assay_raw"
"GSE36238_assay_curated","Curated transcriptome data derived from GEO accession: GSE36238","3.14",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE36238",NA,"Homo sapiens","9606",NA,"The National Center for Biotechnology Information","Xutao Wang <xutaow@bu.edu>","matrix","Rda","curatedTBData/data/GSE36238_assay_curated.rda","GSE36238:assay_curated"
"GSE36238_column_data","Clinical information for samples derived from GEO accession: GSE36238","3.14",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE36238",NA,"Homo sapiens","9606",NA,"The National Center for Biotechnology Information","Xutao Wang <xutaow@bu.edu>","DFrame","Rda","curatedTBData/data/GSE36238_column_data.rda","GSE36238:column_data"
"GSE36238_row_data","Probe set information for samples for derived from GEO accession: GSE36238","3.14",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE36238",NA,"Homo sapiens","9606",NA,"The National Center for Biotechnology Information","Xutao Wang <xutaow@bu.edu>","DFrame","Rda","curatedTBData/data/GSE36238_row_data.rda","GSE36238:row_data"
"GSE36238_meta_data","Meta data information for samples derived from GEO accession: GSE36238","3.14",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE36238",NA,"Homo sapiens","9606",NA,"The National Center for Biotechnology Information","Xutao Wang <xutaow@bu.edu>","MIAME","Rda","curatedTBData/data/GSE36238_meta_data.rda","GSE36238:meta_data"
"GSE41055_assay_raw","Raw transcriptome data derived from GEO accession: GSE41055","3.14",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE41055",NA,"Homo sapiens","9606",NA,"The National Center for Biotechnology Information","Xutao Wang <xutaow@bu.edu>","matrix","Rda","curatedTBData/data/GSE41055_assay_raw.rda","GSE41055:assay_raw"
